id,SalePrice
1461,123812.30133763699
1462,158023.34083292994
1463,178342.3836442845
1464,184446.38014920472
1465,191028.1147285149
1466,172027.88318466808
1467,167734.14727993347
1468,160762.48675059254
1469,188271.65401958386
1470,126688.12363551091
1471,211598.98761205765
1472,95859.74720938
1473,98014.11665147588
1474,158241.1568321718
1475,149459.7340393659
1476,344990.9310190098
1477,258340.44551965484
1478,300769.4397109408
1479,305054.9383271723
1480,382614.86055637966
1481,325015.4765300153
1482,210169.98886819728
1483,169175.0807777557
1484,167702.77621377504
1485,176486.10796405756
1486,189185.4557789193
1487,333508.3381606359
1488,244033.07113290575
1489,204716.07346500366
1490,209423.78057000323
1491,188257.2950758301
1492,91485.17525151698
1493,186742.31469878583
1494,296713.9785306125
1495,317304.7190267658
1496,240906.11860750994
1497,184159.90070389133
1498,161915.66817700354
1499,165301.3020275271
1500,140950.01859355558
1501,173652.18135194152
1502,161009.06794846072
1503,297997.51461840863
1504,225153.41124375106
1505,218880.46808826245
1506,188628.69279175223
1507,232999.06108227393
1508,192359.81899993756
1509,159934.1137151029
1510,142358.3097104335
1511,138588.20848449625
1512,168973.07470831246
1513,150496.98404320984
1514,175480.72263870345
1515,193055.49235101964
1516,164421.00175197775
1517,158230.79140298776
1518,136826.49903001013
1519,232893.5080129737
1520,133374.3005236331
1521,135737.29941297998
1522,175822.7642464502
1523,107037.31704153205
1524,120008.54793185902
1525,129658.19756153064
1526,126160.40662911849
1527,112543.36820201656
1528,126420.9104350818
1529,141904.95283697732
1530,178580.2213124829
1531,103055.26553571319
1532,108900.86979813095
1533,142571.013472408
1534,112222.64341133874
1535,164282.36145948526
1536,110100.83751876501
1537,77659.65828962023
1538,175027.4220459155
1539,209681.00458890165
1540,89343.43743227856
1541,148029.28216864952
1542,138445.3621175543
1543,226867.2707002787
1544,79352.0635795297
1545,102368.88962372144
1546,122765.07083742681
1547,127322.26121861978
1548,128434.62485822907
1549,107509.85001337226
1550,139784.72275753357
1551,117829.76274643812
1552,134870.0917766067
1553,154186.03568646076
1554,111979.93505038107
1555,168853.38800732035
1556,81392.5594327684
1557,122372.42829694058
1558,91884.05844054521
1559,85061.66767295077
1560,143640.71856357498
1561,148822.70090042695
1562,126418.34252070202
1563,121658.12163167176
1564,157842.08271952506
1565,146856.65614576553
1566,228891.23082549282
1567,71444.73521437007
1568,202528.0985613088
1569,126704.33844317253
1570,131392.15287049665
1571,128263.77970645505
1572,150049.62530877753
1573,254430.6962205684
1574,111942.50288208242
1575,230003.5362273937
1576,222416.82512594358
1577,198027.06351883675
1578,152829.5784072903
1579,143918.5472566626
1580,183613.76513870584
1581,153988.44610497457
1582,124745.89156874653
1583,334202.3379546842
1584,230189.70424082922
1585,142351.13469845473
1586,80809.48779633877
1587,99387.40272709256
1588,147339.67481152152
1589,98399.97630386779
1590,138166.1956194453
1591,97013.05016011544
1592,119642.52584163514
1593,132974.61754896995
1594,115170.09856414936
1595,115918.38089076948
1596,250967.37485822503
1597,183888.9062282192
1598,205264.35416376824
1599,192392.61217382515
1600,189854.29391324802
1601,78232.88024715689
1602,100910.54572102005
1603,87718.35673061668
1604,287587.0930911307
1605,255599.00275226583
1606,164840.71175812345
1607,180407.75559065538
1608,210970.64924996297
1609,190393.92005525227
1610,145480.4130952584
1611,146377.97845152003
